time,SMA
2024-06-28 19:30,170.3501
2024-06-28 19:00,170.3299
2024-06-28 18:30,170.3058
2024-06-28 18:00,170.2818
2024-06-28 17:30,170.2623
2024-06-28 17:00,170.2409
2024-06-28 16:30,170.2161
2024-06-28 16:00,170.1903
2024-06-28 15:30,170.1716
2024-06-28 15:00,170.1483
2024-06-28 14:30,170.1333
2024-06-28 14:00,170.1267
2024-06-28 13:30,170.1212
2024-06-28 13:00,170.1036
2024-06-28 12:30,170.0803
2024-06-28 12:00,170.0603
2024-06-28 11:30,170.0418
2024-06-28 11:00,170.0326
2024-06-28 10:30,170.0355
2024-06-28 10:00,170.0360
2024-06-28 09:30,170.0282
2024-06-28 09:00,170.0379
2024-06-28 08:30,170.0450
2024-06-28 08:00,170.0541
2024-06-28 07:30,170.0632
2024-06-28 07:00,170.0693
2024-06-28 06:30,170.0700
2024-06-28 06:00,170.0864
2024-06-28 05:30,170.1055
2024-06-28 05:00,170.1237
2024-06-28 04:30,170.1463
2024-06-28 04:00,170.1635
2024-06-27 19:30,170.1886
2024-06-27 19:00,170.2184
2024-06-27 18:30,170.2484
2024-06-27 18:00,170.2866
2024-06-27 17:30,170.3099
2024-06-27 17:00,170.3400
2024-06-27 16:30,170.3673
2024-06-27 16:00,170.3947
2024-06-27 15:30,170.4228
2024-06-27 15:00,170.4504
2024-06-27 14:30,170.4780
2024-06-27 14:00,170.5125
2024-06-27 13:30,170.5469
2024-06-27 13:00,170.5688
2024-06-27 12:30,170.5908
2024-06-27 12:00,170.6144
2024-06-27 11:30,170.6305
2024-06-27 11:00,170.6333
2024-06-27 10:30,170.6340
2024-06-27 10:00,170.6324
2024-06-27 09:30,170.6643
2024-06-27 09:00,170.6984
2024-06-27 08:30,170.7405
2024-06-27 08:00,170.7689
2024-06-27 07:30,170.7932
2024-06-27 07:00,170.8166
2024-06-27 06:30,170.8723
2024-06-27 06:00,170.9388
2024-06-27 05:30,171.0005
2024-06-27 05:00,171.0600
2024-06-27 04:30,171.1180
2024-06-27 04:00,171.1771
2024-06-26 19:30,171.2341
2024-06-26 19:00,171.2969
2024-06-26 18:30,171.3574
2024-06-26 18:00,171.4129
2024-06-26 17:30,171.4671
2024-06-26 17:00,171.5251
2024-06-26 16:30,171.5794
2024-06-26 16:00,171.6344
2024-06-26 15:30,171.6855
2024-06-26 15:00,171.7385
2024-06-26 14:30,171.8054
2024-06-26 14:00,171.8600
2024-06-26 13:30,171.9095
