time,SMA
2024-07-31 19:30,190.1134
2024-07-31 19:00,190.0808
2024-07-31 18:30,190.0554
2024-07-31 18:00,190.0425
2024-07-31 17:30,189.9988
2024-07-31 17:00,189.9767
2024-07-31 16:30,189.9580
2024-07-31 16:00,189.9027
2024-07-31 15:30,189.8944
2024-07-31 15:00,189.8823
2024-07-31 14:30,189.8513
2024-07-31 14:00,189.8055
2024-07-31 13:30,189.7702
2024-07-31 13:00,189.7397
2024-07-31 12:30,189.7110
2024-07-31 12:00,189.6768
2024-07-31 11:30,189.6341
2024-07-31 11:00,189.5904
2024-07-31 10:30,189.5478
2024-07-31 10:00,189.5169
2024-07-31 09:30,189.4985
2024-07-31 09:00,189.4829
2024-07-31 08:30,189.4642
2024-07-31 08:00,189.4363
2024-07-31 07:30,189.4018
2024-07-31 07:00,189.4005
2024-07-31 06:30,189.4319
2024-07-31 06:00,189.4494
2024-07-31 05:30,189.4606
2024-07-31 05:00,189.4732
2024-07-31 04:30,189.4826
2024-07-31 04:00,189.4841
2024-07-30 19:30,189.4902
2024-07-30 19:00,189.5075
2024-07-30 18:30,189.5174
2024-07-30 18:00,189.5391
2024-07-30 17:30,189.5515
2024-07-30 17:00,189.5746
2024-07-30 16:30,189.6007
2024-07-30 16:00,189.6232
2024-07-30 15:30,189.6390
2024-07-30 15:00,189.6556
2024-07-30 14:30,189.6831
2024-07-30 14:00,189.7118
2024-07-30 13:30,189.7308
2024-07-30 13:00,189.7548
2024-07-30 12:30,189.7898
2024-07-30 12:00,189.8241
2024-07-30 11:30,189.8471
2024-07-30 11:00,189.8727
2024-07-30 10:30,189.9110
2024-07-30 10:00,189.9499
2024-07-30 09:30,189.9728
2024-07-30 09:00,189.9827
2024-07-30 08:30,189.9903
2024-07-30 08:00,189.9917
2024-07-30 07:30,190.0029
2024-07-30 07:00,190.0131
2024-07-30 06:30,189.9962
2024-07-30 06:00,190.0302
2024-07-30 05:30,190.0637
2024-07-30 05:00,190.1033
2024-07-30 04:30,190.1379
2024-07-30 04:00,190.1718
2024-07-29 19:30,190.2030
2024-07-29 19:00,190.2438
2024-07-29 18:30,190.2790
2024-07-29 18:00,190.2983
2024-07-29 17:30,190.3130
2024-07-29 17:00,190.3262
2024-07-29 16:30,190.3342
2024-07-29 16:00,190.3424
2024-07-29 15:30,190.3523
2024-07-29 15:00,190.3571
2024-07-29 14:30,190.3652
2024-07-29 14:00,190.3680
2024-07-29 13:30,190.3808
2024-07-29 13:00,190.4009
2024-07-29 12:30,190.4475
2024-07-29 12:00,190.4857
2024-07-29 11:30,190.5376
2024-07-29 11:00,190.6105
2024-07-29 10:30,190.7000
2024-07-29 10:00,190.7849
2024-07-29 09:30,190.8695
2024-07-29 09:00,190.9105
2024-07-29 08:30,190.8794
2024-07-29 08:00,190.8410
2024-07-29 07:30,190.8135
2024-07-29 07:00,190.8143
2024-07-29 06:30,190.7122
2024-07-29 06:00,190.6598
2024-07-29 05:30,190.6114
2024-07-29 05:00,190.5849
2024-07-29 04:30,190.5498
2024-07-29 04:00,190.5628
2024-07-26 19:30,190.5613
2024-07-26 19:00,190.5542
2024-07-26 18:30,190.5463
2024-07-26 18:00,190.5316
2024-07-26 17:30,190.5124
2024-07-26 17:00,190.4686
2024-07-26 16:30,190.4256
2024-07-26 16:00,190.3777
2024-07-26 15:30,190.3364
2024-07-26 15:00,190.2895
2024-07-26 14:30,190.2596
2024-07-26 14:00,190.2361
2024-07-26 13:30,190.2371
2024-07-26 13:00,190.1214
2024-07-26 12:30,189.9805
2024-07-26 12:00,189.8307
2024-07-26 11:30,189.6799
2024-07-26 11:00,189.5182
2024-07-26 10:30,189.3774
2024-07-26 10:00,189.2561
2024-07-26 09:30,189.1292
2024-07-26 09:00,188.9936
2024-07-26 08:30,188.8853
2024-07-26 08:00,188.7493
2024-07-26 07:30,188.6051
2024-07-26 07:00,188.4502
2024-07-26 06:30,188.2963
2024-07-26 06:00,188.1308
2024-07-26 05:30,187.9712
2024-07-26 05:00,187.8060
2024-07-26 04:30,187.6442
2024-07-26 04:00,187.4889
2024-07-25 19:30,187.3395
2024-07-25 19:00,187.1893
2024-07-25 18:30,187.0410
2024-07-25 18:00,186.8932
2024-07-25 17:30,186.7483
2024-07-25 17:00,186.6086
2024-07-25 16:30,186.4761
2024-07-25 16:00,186.3506
2024-07-25 15:30,186.2209
2024-07-25 15:00,186.0790
2024-07-25 14:30,185.9153
2024-07-25 14:00,185.7618
2024-07-25 13:30,185.5928
2024-07-25 13:00,185.4166
2024-07-25 12:30,185.2475
2024-07-25 12:00,185.0800
2024-07-25 11:30,184.9107
2024-07-25 11:00,184.7493
2024-07-25 10:30,184.6202
2024-07-25 10:00,184.5144
2024-07-25 09:30,184.4048
2024-07-25 09:00,184.2675
2024-07-25 08:30,184.2219
2024-07-25 08:00,184.1288
2024-07-25 07:30,184.0456
2024-07-25 07:00,183.9428
2024-07-25 06:30,183.8546
2024-07-25 06:00,183.7115
2024-07-25 05:30,183.5927
2024-07-25 05:00,183.4719
2024-07-25 04:30,183.3519
2024-07-25 04:00,183.2331
2024-07-24 19:30,183.1248
2024-07-24 19:00,183.0379
2024-07-24 18:30,182.9376
2024-07-24 18:00,182.8439
2024-07-24 17:30,182.7547
2024-07-24 17:00,182.6745
2024-07-24 16:30,182.5696
2024-07-24 16:00,182.4688
2024-07-24 15:30,182.3408
2024-07-24 15:00,182.3309
2024-07-24 14:30,182.3285
2024-07-24 14:00,182.3324
2024-07-24 13:30,182.3435
2024-07-24 13:00,182.3566
2024-07-24 12:30,182.3620
2024-07-24 12:00,182.3543
2024-07-24 11:30,182.3360
2024-07-24 11:00,182.3323
2024-07-24 10:30,182.3308
2024-07-24 10:00,182.3176
2024-07-24 09:30,182.3003
2024-07-24 09:00,182.2957
2024-07-24 08:30,182.2939
2024-07-24 08:00,182.3041
2024-07-24 07:30,182.3170
2024-07-24 07:00,182.3227
2024-07-24 06:30,182.3211
2024-07-24 06:00,182.3307
2024-07-24 05:30,182.3343
2024-07-24 05:00,182.3502
2024-07-24 04:30,182.3698
2024-07-24 04:00,182.3786
2024-07-23 19:30,182.3854
2024-07-23 19:00,182.3888
2024-07-23 18:30,182.3814
2024-07-23 18:00,182.3774
2024-07-23 17:30,182.3690
2024-07-23 17:00,182.3612
2024-07-23 16:30,182.3546
2024-07-23 16:00,182.3406
2024-07-23 15:30,182.3455
2024-07-23 15:00,182.3414
2024-07-23 14:30,182.3299
2024-07-23 14:00,182.3167
2024-07-23 13:30,182.2913
2024-07-23 13:00,182.2714
2024-07-23 12:30,182.2433
2024-07-23 12:00,182.2133
2024-07-23 11:30,182.1870
2024-07-23 11:00,182.1688
2024-07-23 10:30,182.1493
2024-07-23 10:00,182.1404
2024-07-23 09:30,182.1238
2024-07-23 09:00,182.1122
2024-07-23 08:30,182.0868
2024-07-23 08:00,182.0793
2024-07-23 07:30,182.0667
2024-07-23 07:00,182.0663
2024-07-23 06:30,182.1007
2024-07-23 06:00,182.1173
2024-07-23 05:30,182.1385
2024-07-23 05:00,182.1629
2024-07-23 04:30,182.2004
2024-07-23 04:00,182.2396
2024-07-22 19:30,182.2698
2024-07-22 19:00,182.2905
2024-07-22 18:30,182.3138
2024-07-22 18:00,182.3293
2024-07-22 17:30,182.3541
2024-07-22 17:00,182.3765
2024-07-22 16:30,182.4008
2024-07-22 16:00,182.4335
2024-07-22 15:30,182.4527
2024-07-22 15:00,182.4718
2024-07-22 14:30,182.4948
2024-07-22 14:00,182.5183
2024-07-22 13:30,182.5444
2024-07-22 13:00,182.5733
2024-07-22 12:30,182.6096
2024-07-22 12:00,182.6496
2024-07-22 11:30,182.6926
2024-07-22 11:00,182.7279
2024-07-22 10:30,182.7768
2024-07-22 10:00,182.8224
2024-07-22 09:30,182.8692
2024-07-22 09:00,182.9469
2024-07-22 08:30,183.0344
2024-07-22 08:00,183.1108
2024-07-22 07:30,183.1955
2024-07-22 07:00,183.2780
2024-07-22 06:30,183.3015
2024-07-22 06:00,183.3293
2024-07-22 05:30,183.3748
2024-07-22 05:00,183.4318
2024-07-22 04:30,183.4889
2024-07-22 04:00,183.5342
2024-07-19 19:30,183.5971
2024-07-19 19:00,183.6480
2024-07-19 18:30,183.6910
2024-07-19 18:00,183.7361
2024-07-19 17:30,183.7687
2024-07-19 17:00,183.8280
2024-07-19 16:30,183.8787
2024-07-19 16:00,183.9294
2024-07-19 15:30,183.9962
2024-07-19 15:00,184.0659
2024-07-19 14:30,184.1535
2024-07-19 14:00,184.2410
2024-07-19 13:30,184.3176
2024-07-19 13:00,184.3928
2024-07-19 12:30,184.4700
2024-07-19 12:00,184.5372
2024-07-19 11:30,184.6007
2024-07-19 11:00,184.6677
2024-07-19 10:30,184.7355
2024-07-19 10:00,184.7913
2024-07-19 09:30,184.8400
2024-07-19 09:00,184.8807
2024-07-19 08:30,184.8751
2024-07-19 08:00,184.9012
2024-07-19 07:30,184.9244
2024-07-19 07:00,184.9367
2024-07-19 06:30,184.9229
2024-07-19 06:00,184.9062
2024-07-19 05:30,184.8915
2024-07-19 05:00,184.8849
2024-07-19 04:30,184.8846
2024-07-19 04:00,184.8856
2024-07-18 19:30,184.8912
2024-07-18 19:00,184.8928
2024-07-18 18:30,184.8885
2024-07-18 18:00,184.8695
2024-07-18 17:30,184.8700
2024-07-18 17:00,184.8748
2024-07-18 16:30,184.8854
2024-07-18 16:00,184.8955
2024-07-18 15:30,184.9068
2024-07-18 15:00,184.9162
2024-07-18 14:30,184.9224
2024-07-18 14:00,184.9211
2024-07-18 13:30,184.9252
2024-07-18 13:00,184.9292
2024-07-18 12:30,184.9122
2024-07-18 12:00,184.8961
