time,SMA
2024-10-24 19:30,224.4404
2024-10-24 19:00,224.6664
2024-10-24 18:30,224.8970
2024-10-24 18:00,225.1275
2024-10-24 17:30,225.3580
2024-10-24 17:00,225.5890
2024-10-24 16:30,225.8204
2024-10-24 16:00,226.0555
2024-10-24 15:30,226.2872
2024-10-24 15:00,226.5240
2024-10-24 14:30,226.7493
2024-10-24 14:00,226.9974
2024-10-24 13:30,227.2417
2024-10-24 13:00,227.5010
2024-10-24 12:30,227.7574
2024-10-24 12:00,228.0079
2024-10-24 11:30,228.2484
2024-10-24 11:00,228.4914
2024-10-24 10:30,228.7245
2024-10-24 10:00,228.9674
2024-10-24 09:30,229.1821
2024-10-24 09:00,229.4036
2024-10-24 08:30,229.6078
2024-10-24 08:00,229.7399
2024-10-24 07:30,229.8719
2024-10-24 07:00,230.0052
2024-10-24 06:30,230.1717
2024-10-24 06:00,230.3392
2024-10-24 05:30,230.5289
2024-10-24 05:00,230.7342
2024-10-24 04:30,230.9259
2024-10-24 04:00,231.0707
2024-10-23 19:30,231.2206
2024-10-23 19:00,231.2837
2024-10-23 18:30,231.3759
2024-10-23 18:00,231.4711
2024-10-23 17:30,231.5679
2024-10-23 17:00,231.6637
2024-10-23 16:30,231.7764
2024-10-23 16:00,231.9157
2024-10-23 15:30,232.1056
2024-10-23 15:00,232.1164
2024-10-23 14:30,232.1353
2024-10-23 14:00,232.1422
2024-10-23 13:30,232.1718
2024-10-23 13:00,232.1783
2024-10-23 12:30,232.1634
2024-10-23 12:00,232.1368
2024-10-23 11:30,232.1147
2024-10-23 11:00,232.0887
2024-10-23 10:30,232.0837
2024-10-23 10:00,232.0657
2024-10-23 09:30,232.0391
2024-10-23 09:00,232.0368
2024-10-23 08:30,232.0398
2024-10-23 08:00,232.0388
2024-10-23 07:30,232.0341
2024-10-23 07:00,232.0290
2024-10-23 06:30,232.0140
2024-10-23 06:00,232.0155
2024-10-23 05:30,232.0319
2024-10-23 05:00,232.0299
2024-10-23 04:30,232.0275
2024-10-23 04:00,232.0195
2024-10-22 19:30,232.0142
2024-10-22 19:00,232.0102
2024-10-22 18:30,232.0059
2024-10-22 18:00,232.0030
2024-10-22 17:30,232.0025
2024-10-22 17:00,231.9994
2024-10-22 16:30,232.0029
2024-10-22 16:00,232.0045
2024-10-22 15:30,232.0032
2024-10-22 15:00,232.0030
2024-10-22 14:30,231.9962
