time,SMA
2024-08-30 19:30,199.9329
2024-08-30 19:00,199.8705
2024-08-30 18:30,199.8274
2024-08-30 18:00,199.7632
2024-08-30 17:30,199.6834
2024-08-30 17:00,199.6086
2024-08-30 16:30,199.5520
2024-08-30 16:00,199.4989
2024-08-30 15:30,199.4377
2024-08-30 15:00,199.3707
2024-08-30 14:30,199.3170
2024-08-30 14:00,199.2794
2024-08-30 13:30,199.2495
2024-08-30 13:00,199.2274
2024-08-30 12:30,199.1922
2024-08-30 12:00,199.1632
2024-08-30 11:30,199.1542
2024-08-30 11:00,199.1498
2024-08-30 10:30,199.1414
2024-08-30 10:00,199.1328
2024-08-30 09:30,199.1248
2024-08-30 09:00,199.1198
2024-08-30 08:30,199.1308
2024-08-30 08:00,199.1334
2024-08-30 07:30,199.1172
2024-08-30 07:00,199.1019
2024-08-30 06:30,199.0887
2024-08-30 06:00,199.0869
2024-08-30 05:00,199.0787
2024-08-30 04:30,199.0749
2024-08-30 04:00,199.0697
2024-08-29 19:30,199.0561
2024-08-29 19:00,199.0464
2024-08-29 18:30,199.0396
2024-08-29 18:00,199.0334
2024-08-29 17:30,199.0286
2024-08-29 17:00,199.0140
2024-08-29 16:30,199.0090
2024-08-29 16:00,199.0014
2024-08-29 15:30,198.9995
2024-08-29 15:00,198.9980
2024-08-29 14:30,198.9965
2024-08-29 14:00,198.9837
2024-08-29 13:30,198.9613
2024-08-29 13:00,198.9349
2024-08-29 12:30,198.9094
2024-08-29 12:00,198.8759
2024-08-29 11:30,198.8567
2024-08-29 11:00,198.8435
2024-08-29 10:30,198.8246
2024-08-29 10:00,198.8150
2024-08-29 09:30,198.7957
2024-08-29 09:00,198.7825
2024-08-29 08:30,198.7771
2024-08-29 08:00,198.7602
2024-08-29 07:30,198.7280
2024-08-29 07:00,198.6989
2024-08-29 06:30,198.6752
2024-08-29 06:00,198.6412
2024-08-29 05:00,198.6127
2024-08-29 04:30,198.6025
2024-08-29 04:00,198.5954
2024-08-28 19:30,198.5730
2024-08-28 19:00,198.5752
2024-08-28 18:30,198.5864
2024-08-28 18:00,198.5830
2024-08-28 17:30,198.5580
2024-08-28 17:00,198.5437
2024-08-28 16:30,198.5362
2024-08-28 16:00,198.5337
2024-08-28 15:30,198.5312
2024-08-28 15:00,198.5220
2024-08-28 14:30,198.5105
2024-08-28 14:00,198.5013
2024-08-28 13:30,198.5080
2024-08-28 13:00,198.5150
2024-08-28 12:30,198.5069
2024-08-28 12:00,198.4887
2024-08-28 11:30,198.4758
2024-08-28 11:00,198.4533
2024-08-28 10:30,198.4204
2024-08-28 10:00,198.3806
2024-08-28 09:30,198.3362
2024-08-28 09:00,198.2975
2024-08-28 08:30,198.2887
2024-08-28 08:00,198.2587
2024-08-28 07:30,198.2152
2024-08-28 07:00,198.1657
2024-08-28 06:30,198.1167
2024-08-28 05:30,198.0635
2024-08-28 05:00,198.0100
2024-08-28 04:30,197.9620
2024-08-28 04:00,197.9150
2024-08-27 19:30,197.8710
2024-08-27 19:00,197.8254
2024-08-27 18:30,197.7849
2024-08-27 18:00,197.7486
2024-08-27 17:30,197.7071
2024-08-27 17:00,197.6654
2024-08-27 16:30,197.6204
2024-08-27 16:00,197.5742
2024-08-27 15:30,197.5174
2024-08-27 15:00,197.4784
2024-08-27 14:30,197.4331
2024-08-27 14:00,197.3796
2024-08-27 13:30,197.3313
2024-08-27 13:00,197.2868
2024-08-27 12:30,197.2410
2024-08-27 12:00,197.1953
2024-08-27 11:30,197.1491
2024-08-27 11:00,197.1021
2024-08-27 10:30,197.0556
2024-08-27 10:00,196.9953
2024-08-27 09:30,196.9467
2024-08-27 09:00,196.9198
2024-08-27 08:30,196.9037
2024-08-27 08:00,196.8935
2024-08-27 07:30,196.8672
2024-08-27 07:00,196.8567
2024-08-27 06:30,196.8287
2024-08-27 06:00,196.7930
2024-08-27 05:30,196.7714
2024-08-27 04:30,196.7457
2024-08-27 04:00,196.7144
2024-08-26 19:30,196.6822
2024-08-26 19:00,196.6664
2024-08-26 18:30,196.6582
2024-08-26 18:00,196.6464
2024-08-26 17:30,196.6245
2024-08-26 17:00,196.5927
