time,SMA
2024-09-23 12:30,216.0250
2024-09-23 12:00,215.9206
2024-09-23 11:30,215.8216
2024-09-23 11:00,215.7315
2024-09-23 10:30,215.6164
2024-09-23 10:00,215.5109
2024-09-23 09:30,215.4120
2024-09-23 09:00,215.3117
2024-09-23 08:30,215.1945
2024-09-23 08:00,215.1142
2024-09-23 07:30,215.0402
2024-09-23 07:00,214.9909
2024-09-23 06:30,215.0004
2024-09-23 06:00,214.9762
2024-09-23 05:30,214.9675
2024-09-23 05:00,214.9605
2024-09-23 04:30,214.9489
2024-09-23 04:00,214.9437
2024-09-20 19:30,214.9357
2024-09-20 19:00,214.9196
2024-09-20 18:30,214.9054
2024-09-20 18:00,214.8863
2024-09-20 17:30,214.8696
2024-09-20 17:00,214.8407
2024-09-20 16:30,214.8028
2024-09-20 16:00,214.7593
2024-09-20 15:30,214.7486
2024-09-20 15:00,214.7049
2024-09-20 14:30,214.6913
2024-09-20 14:00,214.6618
2024-09-20 13:30,214.6301
2024-09-20 13:00,214.5996
2024-09-20 12:30,214.5943
2024-09-20 12:00,214.5853
2024-09-20 11:30,214.5778
2024-09-20 11:00,214.5593
2024-09-20 10:30,214.5554
2024-09-20 10:00,214.5551
2024-09-20 09:30,214.5496
2024-09-20 09:00,214.5391
2024-09-20 08:30,214.5269
2024-09-20 08:00,214.5244
2024-09-20 07:30,214.5349
2024-09-20 07:00,214.5479
2024-09-20 06:30,214.5621
2024-09-20 06:00,214.5631
2024-09-20 05:30,214.5726
2024-09-20 05:00,214.5764
2024-09-20 04:30,214.5814
2024-09-20 04:00,214.6046
2024-09-19 19:30,214.6191
2024-09-19 19:00,214.6376
2024-09-19 18:30,214.6504
2024-09-19 18:00,214.6653
2024-09-19 17:30,214.6754
2024-09-19 17:00,214.6873
2024-09-19 16:30,214.6908
2024-09-19 16:00,214.6983
2024-09-19 15:30,214.7288
2024-09-19 15:00,214.7328
2024-09-19 14:30,214.7404
2024-09-19 14:00,214.7529
2024-09-19 13:30,214.7735
2024-09-19 13:00,214.7864
2024-09-19 12:30,214.8024
2024-09-19 12:00,214.8242
2024-09-19 11:30,214.8536
2024-09-19 11:00,214.8987
2024-09-19 10:30,214.9459
2024-09-19 10:00,214.9629
2024-09-19 09:30,214.9787
2024-09-19 09:00,214.9620
2024-09-19 08:30,214.8964
2024-09-19 08:00,214.8557
2024-09-19 07:30,214.8189
2024-09-19 07:00,214.8088
2024-09-19 06:30,214.8084
2024-09-19 06:00,214.8211
2024-09-19 05:30,214.8311
2024-09-19 05:00,214.8443
2024-09-19 04:30,214.8529
2024-09-19 04:00,214.8674
2024-09-18 19:30,214.8824
2024-09-18 19:00,214.9103
2024-09-18 18:30,214.9473
2024-09-18 18:00,214.9876
2024-09-18 17:30,215.0249
2024-09-18 17:00,215.0628
2024-09-18 16:30,215.0838
2024-09-18 16:00,215.1119
2024-09-18 15:30,215.1501
2024-09-18 15:00,215.1873
2024-09-18 14:30,215.2039
2024-09-18 14:00,215.2348
2024-09-18 13:30,215.2550
2024-09-18 13:00,215.2915
2024-09-18 12:30,215.3185
2024-09-18 12:00,215.3527
2024-09-18 11:30,215.3965
2024-09-18 11:00,215.4543
2024-09-18 10:30,215.5036
2024-09-18 10:00,215.5642
2024-09-18 09:30,215.6219
2024-09-18 09:00,215.6774
2024-09-18 08:30,215.7184
2024-09-18 08:00,215.7626
2024-09-18 07:30,215.8004
2024-09-18 07:00,215.8614
2024-09-18 06:30,215.8912
2024-09-18 06:00,215.8959
2024-09-18 05:30,215.8972
2024-09-18 05:00,215.8954
2024-09-18 04:30,215.8944
2024-09-18 04:00,215.8957
2024-09-17 19:30,215.9055
2024-09-17 19:00,215.9172
2024-09-17 18:30,215.9387
2024-09-17 18:00,215.9512
2024-09-17 17:30,215.9724
2024-09-17 17:00,215.9814
2024-09-17 16:30,215.9927
2024-09-17 16:00,216.0035
2024-09-17 15:30,216.0121
2024-09-17 15:00,216.0195
2024-09-17 14:30,216.0310
2024-09-17 14:00,216.0418
2024-09-17 13:30,216.0574
2024-09-17 13:00,216.0702
2024-09-17 12:30,216.0867
2024-09-17 12:00,216.1078
2024-09-17 11:30,216.1326
2024-09-17 11:00,216.1633
2024-09-17 10:30,216.1771
2024-09-17 10:00,216.1947
2024-09-17 09:30,216.1989
2024-09-17 09:00,216.1852
2024-09-17 08:30,216.1620
2024-09-17 08:00,216.1117
2024-09-17 07:30,216.0670
2024-09-17 07:00,216.0143
2024-09-17 06:30,215.9330
2024-09-17 06:00,215.8463
2024-09-17 05:30,215.7630
2024-09-17 05:00,215.6723
2024-09-17 04:30,215.5853
2024-09-17 04:00,215.4918
2024-09-16 19:30,215.4002
2024-09-16 19:00,215.3173
2024-09-16 18:30,215.2295
2024-09-16 18:00,215.1413
2024-09-16 17:30,215.0498
2024-09-16 17:00,214.9592
2024-09-16 16:30,214.8647
2024-09-16 16:00,214.7713
2024-09-16 15:30,214.6818
2024-09-16 15:00,214.5923
2024-09-16 14:30,214.5064
2024-09-16 14:00,214.4139
2024-09-16 13:30,214.3169
2024-09-16 13:00,214.2195
2024-09-16 12:30,214.1325
2024-09-16 12:00,214.0383
2024-09-16 11:30,213.9478
2024-09-16 11:00,213.8559
2024-09-16 10:30,213.7774
2024-09-16 10:00,213.6937
2024-09-16 09:30,213.5951
2024-09-16 09:00,213.4690
2024-09-16 08:30,213.3708
2024-09-16 08:00,213.2768
2024-09-16 07:30,213.1986
2024-09-16 07:00,213.1167
2024-09-16 06:30,213.0409
2024-09-16 06:00,212.9472
2024-09-16 05:30,212.8604
2024-09-16 05:00,212.7702
2024-09-16 04:30,212.6731
2024-09-16 04:00,212.5867
2024-09-13 19:30,212.4901
2024-09-13 19:00,212.4064
2024-09-13 18:30,212.3226
2024-09-13 18:00,212.2454
2024-09-13 17:30,212.1688
2024-09-13 17:00,212.0909
2024-09-13 16:30,212.0106
2024-09-13 16:00,211.9263
2024-09-13 15:30,211.8384
2024-09-13 15:00,211.7529
2024-09-13 14:30,211.6811
2024-09-13 14:00,211.6101
2024-09-13 13:30,211.5190
2024-09-13 13:00,211.4232
2024-09-13 12:30,211.3265
2024-09-13 12:00,211.2207
2024-09-13 11:30,211.1045
2024-09-13 11:00,210.9714
2024-09-13 10:30,210.8333
2024-09-13 10:00,210.7068
2024-09-13 09:30,210.5692
2024-09-13 09:00,210.4247
2024-09-13 08:30,210.3062
2024-09-13 08:00,210.1807
2024-09-13 07:30,210.0361
2024-09-13 07:00,209.9019
2024-09-13 06:30,209.8399
2024-09-13 06:00,209.7503
2024-09-13 05:30,209.6603
2024-09-13 05:00,209.5568
2024-09-13 04:30,209.4503
2024-09-13 04:00,209.3449
2024-09-12 19:30,209.2364
2024-09-12 19:00,209.1229
2024-09-12 18:30,209.0106
2024-09-12 18:00,208.8904
2024-09-12 17:30,208.7719
2024-09-12 17:00,208.6639
2024-09-12 16:30,208.5579
2024-09-12 16:00,208.4563
2024-09-12 15:30,208.3499
2024-09-12 15:00,208.2396
2024-09-12 14:30,208.1251
2024-09-12 14:00,208.0176
2024-09-12 13:30,207.9031
2024-09-12 13:00,207.7867
2024-09-12 12:30,207.6659
2024-09-12 12:00,207.5509
2024-09-12 11:30,207.4416
2024-09-12 11:00,207.3409
2024-09-12 10:30,207.2307
2024-09-12 10:00,207.1204
2024-09-12 09:30,207.0027
2024-09-12 09:00,206.9185
