timestamp,open,high,low,close,volume
2024-10-08 19:55:00,228.6100,228.6100,228.6100,228.6100,4
2024-10-08 19:43:00,228.6100,228.6100,228.6100,228.6100,1
2024-10-08 19:32:00,228.6200,228.6200,228.6200,228.6200,3
2024-10-08 19:31:00,228.6200,228.6200,228.6200,228.6200,2
2024-10-08 19:30:00,228.6100,228.6100,228.6100,228.6100,3
2024-10-08 19:21:00,228.7800,228.7800,228.6300,228.6300,42
2024-10-08 19:16:00,228.8800,228.8800,228.8800,228.8800,4
2024-10-08 19:13:00,228.8300,228.8300,228.8300,228.8300,5
2024-10-08 19:03:00,228.9900,228.9900,228.9900,228.9900,2
2024-10-08 19:00:00,228.6200,228.7600,228.6200,228.7600,569732
2024-10-08 18:53:00,228.7500,228.9800,228.7500,228.9800,3
2024-10-08 18:51:00,228.6600,228.6600,228.6600,228.6600,1
2024-10-08 18:50:00,228.9300,228.9420,228.9300,228.9420,9
2024-10-08 18:48:00,228.9900,228.9900,228.9900,228.9900,1
2024-10-08 18:45:00,228.7500,228.7500,228.7500,228.7500,10
2024-10-08 18:41:00,228.9505,228.9505,228.6600,228.6600,12
2024-10-08 18:40:00,228.8200,228.8200,228.8200,228.8200,50
2024-10-08 18:32:00,228.9899,228.9899,228.9899,228.9899,4
2024-10-08 18:30:00,228.6200,228.6200,228.6200,228.6200,569729
2024-10-08 18:28:00,228.9900,228.9900,228.9900,228.9900,22
2024-10-08 18:26:00,228.9900,228.9900,228.9900,228.9900,3
2024-10-08 18:25:00,228.6300,228.6400,228.6300,228.6400,19
2024-10-08 18:24:00,228.6300,228.6300,228.6300,228.6300,1
2024-10-08 18:13:00,228.5300,228.5300,228.5300,228.5300,2
2024-10-08 18:12:00,228.5300,228.5300,228.5300,228.5300,3
2024-10-08 18:10:00,228.6400,228.6400,228.5300,228.5300,50
2024-10-08 18:03:00,228.5800,228.5800,228.5800,228.5800,1
2024-10-08 18:02:00,228.9800,228.9800,228.9800,228.9800,1
2024-10-08 17:59:00,228.5000,228.5000,228.5000,228.5000,50
2024-10-08 17:57:00,228.9900,228.9900,228.9900,228.9900,2
