time,SMA
2024-07-02 17:30,173.6552
2024-07-02 18:00,173.7198
2024-07-02 18:30,173.7963
2024-07-02 19:00,173.8655
2024-07-02 19:30,173.9331
2024-07-03 04:00,174.007
2024-07-03 04:30,174.0787
2024-07-03 05:00,174.155
2024-07-03 05:30,174.2315
2024-07-03 06:30,174.31
2024-07-03 07:00,174.3858
2024-07-03 07:30,174.4584
2024-07-03 08:00,174.5121
2024-07-03 08:30,174.5704
2024-07-03 09:00,174.6189
2024-07-03 09:30,174.648
2024-07-03 10:00,174.6721
2024-07-03 10:30,174.6898
2024-07-03 11:00,174.7013
2024-07-03 11:30,174.687
2024-07-03 12:00,174.6825
2024-07-03 12:30,174.6868
2024-07-03 13:00,174.691
2024-07-03 13:30,174.6962
2024-07-03 14:00,174.7029
2024-07-03 14:30,174.7117
2024-07-03 15:00,174.7209
2024-07-03 15:30,174.7323
2024-07-03 16:00,174.7462
2024-07-03 16:30,174.7569
2024-07-03 17:00,174.7677
2024-07-05 04:00,174.7784
2024-07-05 04:30,174.7892
2024-07-05 05:00,174.8015
2024-07-05 05:30,174.8136
2024-07-05 06:00,174.826
2024-07-05 06:30,174.8376
2024-07-05 07:00,174.8536
2024-07-05 07:30,174.8615
2024-07-05 08:00,174.8784
2024-07-05 08:30,174.8974
2024-07-05 09:00,174.9174
2024-07-05 09:30,174.9314
2024-07-05 10:00,174.9185
2024-07-05 10:30,174.9217
2024-07-05 11:00,174.8966
2024-07-05 11:30,174.8649
2024-07-05 12:00,174.8335
2024-07-05 12:30,174.8122
2024-07-05 13:00,174.7907
2024-07-05 13:30,174.7727
2024-07-05 14:00,174.7547
2024-07-05 14:30,174.7365
2024-07-05 15:00,174.7057
2024-07-05 15:30,174.6875
2024-07-05 16:00,174.6698
2024-07-05 16:30,174.6366
2024-07-05 18:00,174.6072
2024-07-05 18:30,174.5857
2024-07-05 19:00,174.5624
2024-07-05 19:30,174.5346
2024-07-08 04:00,174.5113
2024-07-08 04:30,174.4867
2024-07-08 05:00,174.4655
2024-07-08 05:30,174.4437
2024-07-08 06:00,174.4163
2024-07-08 06:30,174.3882
2024-07-08 07:00,174.3616
2024-07-08 07:30,174.3401
2024-07-08 08:00,174.3082
2024-07-08 08:30,174.2879
2024-07-08 09:00,174.2591
2024-07-08 09:30,174.2673
2024-07-08 10:00,174.2566
2024-07-08 10:30,174.2493
2024-07-08 11:00,174.2488
2024-07-08 11:30,174.2438
2024-07-08 12:00,174.2476
2024-07-08 12:30,174.2575
2024-07-08 13:00,174.2811
2024-07-08 13:30,174.3044
2024-07-08 14:00,174.3257
2024-07-08 14:30,174.3501
2024-07-08 15:00,174.3789
2024-07-08 15:30,174.4139
2024-07-08 16:00,174.45
2024-07-08 16:30,174.4862
2024-07-08 17:00,174.5143
2024-07-08 17:30,174.5444
2024-07-08 18:00,174.5804
2024-07-08 18:30,174.6161
2024-07-08 19:00,174.649
2024-07-08 19:30,174.6865
2024-07-09 04:00,174.7238
2024-07-09 04:30,174.7613
2024-07-09 05:00,174.7988
2024-07-09 05:30,174.8408
2024-07-09 06:00,174.8793
2024-07-09 06:30,174.919
2024-07-09 07:00,174.9588
2024-07-09 08:00,174.9988
2024-07-09 08:30,175.0344
2024-07-09 09:00,175.0688
2024-07-09 09:30,175.1088
2024-07-09 10:00,175.13
2024-07-09 10:30,175.1613
2024-07-09 11:00,175.1803
2024-07-09 11:30,175.1977
2024-07-09 12:00,175.2136
2024-07-09 12:30,175.2381
2024-07-09 13:00,175.2495
2024-07-09 13:30,175.2577
2024-07-09 14:00,175.2618
2024-07-09 14:30,175.2676
2024-07-09 15:00,175.2652
2024-07-09 15:30,175.273
2024-07-09 16:00,175.2811
2024-07-09 16:30,175.3016
2024-07-09 17:00,175.3086
2024-07-09 17:30,175.3231
2024-07-09 18:00,175.3327
2024-07-09 18:30,175.3408
2024-07-09 19:00,175.3488
2024-07-09 19:30,175.3564
2024-07-10 04:00,175.3717
2024-07-10 04:30,175.3854
2024-07-10 05:00,175.3985
2024-07-10 05:30,175.4059
2024-07-10 06:00,175.4115
2024-07-10 06:30,175.4219
2024-07-10 07:00,175.4266
2024-07-10 07:30,175.4418
2024-07-10 08:00,175.4168
2024-07-10 08:30,175.407
2024-07-10 09:00,175.3912
2024-07-10 09:30,175.3588
2024-07-10 10:00,175.337
2024-07-10 10:30,175.3285
2024-07-10 11:00,175.32
2024-07-10 11:30,175.3043
2024-07-10 12:00,175.2936
2024-07-10 12:30,175.286
2024-07-10 13:00,175.2769
2024-07-10 13:30,175.2696
2024-07-10 14:00,175.2572
2024-07-10 14:30,175.2483
2024-07-10 15:00,175.2436
2024-07-10 15:30,175.2507
2024-07-10 16:00,175.2529
2024-07-10 16:30,175.24
2024-07-10 17:00,175.2335
2024-07-10 17:30,175.2353
2024-07-10 18:00,175.2329
2024-07-10 18:30,175.2297
2024-07-10 19:00,175.2273
2024-07-10 19:30,175.2198
2024-07-11 04:00,175.214
2024-07-11 04:30,175.2116
2024-07-11 05:00,175.2097
2024-07-11 05:30,175.2106
2024-07-11 06:00,175.2116
2024-07-11 06:30,175.2119
2024-07-11 07:00,175.222
2024-07-11 07:30,175.2429
2024-07-11 08:00,175.2683
2024-07-11 08:30,175.285
2024-07-11 09:00,175.3137
2024-07-11 09:30,175.3494
2024-07-11 10:00,175.3947
2024-07-11 10:30,175.4357
2024-07-11 11:00,175.4794
2024-07-11 11:30,175.5179
2024-07-11 12:00,175.5626
2024-07-11 12:30,175.5949
2024-07-11 13:00,175.6381
2024-07-11 13:30,175.6707
2024-07-11 14:00,175.7153
2024-07-11 14:30,175.749
2024-07-11 15:00,175.7824
2024-07-11 15:30,175.811
2024-07-11 16:00,175.8408
2024-07-11 16:30,175.8661
2024-07-11 17:00,175.8916
2024-07-11 17:30,175.9233
2024-07-11 18:00,175.9456
2024-07-11 18:30,175.9666
2024-07-11 19:00,175.9891
2024-07-11 19:30,176.0124
2024-07-12 04:00,176.0413
2024-07-12 04:30,176.0713
2024-07-12 05:30,176.108
2024-07-12 06:00,176.1331
2024-07-12 06:30,176.169
2024-07-12 07:00,176.2004
2024-07-12 07:30,176.2331
2024-07-12 08:00,176.2924
2024-07-12 08:30,176.3497
2024-07-12 09:00,176.3887
2024-07-12 09:30,176.4434
2024-07-12 10:00,176.5267
2024-07-12 10:30,176.5993
2024-07-12 11:00,176.6786
2024-07-12 11:30,176.7692
2024-07-12 12:00,176.8574
2024-07-12 12:30,176.9608
2024-07-12 13:00,177.063
2024-07-12 13:30,177.1601
2024-07-12 14:00,177.2505
2024-07-12 14:30,177.3455
2024-07-12 15:00,177.4511
2024-07-12 15:30,177.5395
2024-07-12 16:00,177.6246
2024-07-12 16:30,177.7084
2024-07-12 17:00,177.7903
2024-07-12 17:30,177.8728
2024-07-12 18:00,177.9565
